Card Name,Card Typing,Effigy Costs,Casting Cost,Text Box,Strength,Lifespan,Timer,Arrows (Clockwise top center = 1),Set,Effigy type,Rarity,Watch
Conversion,"Ethereal, Conjuring",2 Faithless,2,Add (1) Essence of any type.,XXX,XXX,XXX,XXX,1,Faithless,C,0
Desecration,Conjuring,3 Faithless,3,Destroy a Relic.,XXX,XXX,XXX,XXX,1,Faithless,U,0
Divine Winds,"Ethereal, Conjuring",2 Faithless,2,Move target Being (1) tile in any direction.,XXX,XXX,XXX,XXX,1,Faithless,U,0
Drown out the Screams ,"Ethereal, Conjuring",2 Faithless,2,Target Non Deity Being loses all abilities until end of turn. ,XXX,XXX,XXX,XXX,1,Faithless,U,0
Effigial Conservator ,"Human, Being",2 Faithless,2,"Engage: Target Effigy that you control Engages, then add (1) Essence of its typing.",0,2,XXX,1,1,Faithless,C,0
Faithless Altar,Altar,3 Faithless,3,"If you control only Faithless Permaments: Craft (1) additional Effigy on your turn
(Conjures in the Effigy Zone).",XXX,XXX,XXX,XXX,1,Faithless,U,0
Faithless Invocation,Conjuring,3 Faithless,3,Invoke a Faithless Relic Card that costs (2) or less.,XXX,XXX,XXX,XXX,1,Faithless,R,0
False Testament ,Prophecy,1 Faithless,1,"When conjured you may have this enter with up to (5) Time Counters.
 Craft (1) Effigy.",XXX,XXX,X,XXX,1,Faithless,Sacred,0
Fidian Nol,"Human, Being",2 Faithless,2,During Combat if the opposing Being is not Faithless it has (-1) Strength.,1,2,XXX,"2, 8",1,Faithless,R,0
Forgotten Monument,Relic,3 Faithless,3,Engage: Add (1) Faithless Essence,XXX,XXX,XXX,XXX,1,Faithless,C,0
Gargantuan hammer,"Relic, Armament",3 Faithless,3,Being gains +6/-3.,XXX,XXX,XXX,XXX,1,Faithless,U,0
Ghoul,"Undead, Being",1 Faithless,1,"He didn't believe in any afterlife, so he simply didn't go to any.",1,1,XXX,"1, 5",1,Faithless,C,0
Gutter Rat,"Rat, Being, Familiar",1 Faithless,1,"""The gutters ebb and flow and its not from the water"" - Street Sweeper",1,1,XXX,1,1,Faithless,C,0
Happy Hammer,"Relic, Armament",2 Faithless,2,"Whenever a Being is summoned under your control, move and attach Happy Hammer to that Being. 
Being gains +3/+0.",XXX,XXX,XXX,XXX,1,Faithless,R,0
Hermit,"Unknown, Being",5 Faithless,5,"""He rarely speaks, but when he does, he laughs and asks who he is, like he doesn't remember his own name.""",0,5,XXX,"1, 2, 3, 4, 5, 6, 7, 8",1,Faithless,R,0
Imp ,"Imp, Being, Familiar",2 Faithless,2,"""Stupid humans so easiy fooled...I mean Meow""",2,1,XXX,"1, 4, 6",1,Faithless,C,0
Intervene ,Conjuring,2 Faithless,2,"Target Being becomes Favored until end of turn
 (Gains a Favor Counter. The next time this Being would take damage remove the Favor Counter instead).",XXX,XXX,XXX,XXX,1,Faithless,U,0
Lighten the Load,Conjuring,0,0,Discard a card the next card you play this turn costs (-1) Faithless.,XXX,XXX,XXX,XXX,1,Faithless,U,0
Lingering Doubt,"Null, Being",3 Faithless,3,At the end of your turn gain +1/+1 for each other Doubt you control.,2,2,XXX,"1, 3, 5, 7",1,Faithless,Sacred,1
Marionette Doll,"Spirit, Being",3 Faithless,3,"Engage: Target a Being you don't control, then copy it's Engage ability.",1,1,XXX,"1, 3, 7",1,Faithless,C,0
Moment of Doubt,"Ethereal, Conjuring",4 Faithless,4,"Target Being gains (1) Time Counter and ""Can not move while this being has at least (1) Time Counter"".",XXX,XXX,XXX,XXX,1,Faithless,R,0
Passing Doubt,"Null, Being",2 Faithless,2,At the end of your turn target Doubt you control is dealt (1) Lifespan Damage,2,2,XXX,"2, 8",1,Faithless,C,0
Priestly Practitioner,"Human, Being",2 Faithless,2,Engage: Restore (2) Lifespan.,0,2,XXX,"1, 3, 5",1,Faithless,U,1
Reveler ,"Human, Being",1 Faithless,1,"Can not move.
Whenever this moves craft an Effigy.",1,1,XXX,"1, 4, 3, 5",1,Faithless,C,0
Revoke,Conjuring,2 Faithless,2,Return target Non-Deity Being you control to your hand. Revoke can not target a Faithless Being.,XXX,XXX,XXX,XXX,1,Faithless,C,0
Roll Back,Prophecy,1 Faithless,1,Modulate (+1).,XXX,XXX,2,XXX,1,Faithless,C,0
Scrap Collector ,"Goblin, Being",2 Faithless,1,Engage: Shuffle up to (2) Armaments into your deck from Purgatory.,0,1,XXX,"1, 3, 5",1,Faithless,C,0
Scrap removal,"Ethereal, Conjuring",2 Faithless,2,Discard a Relic: Draw (2) cards.,XXX,XXX,XXX,XXX,1,Faithless,C,0
Skeptic,"Human, Being",2 Faithless,2,Depart: Add a Passing Doubt to hand.,0,2,XXX,"1, 5",1,Faithless,C,0
Skeptical Scrawling,Prophecy,3 Faithless,3,"Discard (1) Card, then return a Null Being From Purgatory to hand.

""Everytime she felt close to something great that feeling would creep back in""",XXX,XXX,1,XXX,1,Faithless,C,0
Spirit Guide,"Spirit, Being",1 Faithless,1,Depart: Move target Being you control forward. ,0,3,XXX,1,1,Faithless,C,0
Surveyor,"Human, Being",2 Faithless,2,When summoned add an Altar to hand from deck. ,1,2,XXX,"2, 7",1,Faithless,U,1
Temple of Dubiety,Relic,3 Faithless,3,"Engage: Shuffle a Faithless Being into deck from your Purgatory, then if you control only Faithless Cards draw (1) Card.",XXX,XXX,XXX,XXX,1,Faithless,Sacred,0
Thespian,"Human, Being",3 Faithless,3,"When summoned this Being's Strength and Lifespan becomes equal to target Being you control. 
When this Being dies you lose (4) Lifespan.",0,1,XXX,1,1,Faithless,R,1
Training dummy,"Relic, Being",0,0,Can not attack.,0,3,XXX,1,1,Faithless,C,0
Vaticinator,"Human, Being",1 Faithless,1,When summoned you may target a Prophecy and reveal it without triggering it. Return it Face down afterwards. ,0,2,XXX,"2, 8",1,Faithless,C,0
Winged Pair of dice ,"Bird, Being",1 Faithless,1,"""Basically an auto include…"" - Alpha Builder ",1,1,XXX,XXX,1,Faithless,C,0
Zealot,"Human, Being",2 Faithless,1,If you control only Faithless permaments you may Engage: Add (1) Faithless Essence.,1,1,XXX,1,1,Faithless,C,0
Ambiguity,"Ethereal, Conjuring",2 Formless,2,"Flip a coin, If heads deal (1) damage to an enemy, if tails target opponent deals (1) damage where ever they want
""Was that an I or a l""  - Warlock Initiate",XXX,XXX,XXX,XXX,1,Formless,C,0
By Teeth and bounds,Prophecy,2 Formless,2,"If you control more Beings than your opponent: sacrifice a Hunger, then add Immen Gorta from deck to hand.
If you control less beings than your opponent: draw (2) cards.
If it is tied: choose one.",XXX,XXX,3,XXX,1,Formless,R,0
Cannibalize,Conjuring,"2 Faithless, 1 Formless",3,Sacrifice target Hunger: Hungers you control disengage.,XXX,XXX,XXX,XXX,1,Formless,R,0
Chains of the Unbound ,Relic,"1 Faithless, 2 Formless",3,Martyr: Target Being an opponent controls Shifts (1).,XXX,XXX,XXX,XXX,1,Formless,C,0
Cro-āsik Hunger,"Hunger, Being",3 Formless,3,"When summoned you may sacrifice a Prophecy you control, then destroy target non Diety Being (Lifespan damage is not dealt)",1,2,XXX,"1, 3, 6",1,Formless,U,0
Cycle of Hunger ,Conjuring,"1 Faithless, 1 Formless",2,"Shuffle (2) Hungers into your deck from your Purgatory, then draw (1) card.",XXX,XXX,XXX,XXX,1,Formless,U,0
Death's Decanter,Relic,2 Formless,2,"Gain (1) Crossing Counter whenever a Being Dies. 
Remove (X) Crossing Counters: Sacrifice this Relic, then add a Formless Being with Conjuring cost (X) from your Purgatory to hand.",XXX,XXX,XXX,XXX,1,Formless,C,0
Defective Demon,"Demon, Being",1 Formless,1,When Defective Demon moves sacrifice it.,2,2,XXX,"1, 2, 8",1,Formless,C,0
Degrisch Vassal,"Demon, Being",3 Formless,3,"When this Being deals damage to an opponent, prevent that damage and craft (X) Effigies where (X) is the damage that would have been dealt. ",0,2,XXX,1,1,Formless,C,0
Delectible Deviant,"Human, Being",1 Formless,1,Martyr: Hungers you control gain +1/+0 until the end of your turn.,0,2,XXX,"1, 7",1,Formless,C,0
Diablerie,Conjuring,"1 Faithless, 2 Formless",3,"Each Player may move any number of Beings they control (in any direction), any Beings that move lose half their lifespan rounded up.",XXX,XXX,XXX,XXX,1,Formless,C,0
Echoes of the Boundless,"Spirit, Being","2 Faithless, 2 Formless",4,Whenever another Being dies it's controller may pay its Summoning cost to Shift (1) instead of sending it to Purgatory. Damage is still dealt from it dying.,0,3,XXX,"2, 3, 7, 8",1,Formless,Sacred,0
Envoy of the Hungers,"Human, Being",3 Formless,3,"Engage: Deal (1) damage to this, then switch this Being with a Hunger you control.",0,3,XXX,"1, 4, 6",1,Formless,C,0
Erroneous Evocation ,Conjuring,"1 Faithless, 2 Formless",3,"Add a Demon Being from deck to hand, your opponent summons (1) Vassal token on any tile they control. 
""It's pronounced vo-KAH-ray...""",XXX,XXX,XXX,XXX,1,Formless,U,0
Formless Fangs,"Hunger, Being",2 Formless,2,Any Being dealt damage by this Shifts (2).,0,2,XXX,"1, 5",1,Formless,C,0
Hirath Hunger,"Hunger, Being",4 Formless,4,"Can not move.
Shift (2).",2,6,XXX,"2, 4, 5, 6, 8",1,Formless,C,0
Illegible Grimoire,Relic,1 Formless,2,"Pay (1) Formless, Engage: Flip a coin, if heads draw (1) card, if tails Pay (3) Lifespan.",XXX,XXX,XXX,XXX,1,Formless,C,0
"Immen Gorta, the Boundless Hunger","Hunger, Being, Deity",5 Formless,5,"As an additional cost to summon, Sacrifice (2) Beings.
Shift (1): ""At the end of your turn, this loses (2) Time Counters""
When this moves into the Mortal Realm, deal (1) damage to any target.",0,8,XXX,"1, 2, 3, 4, 5, 6, 7, 8",1,Formless,Sacred,0
Imp-practical Joker,"Imp, Being, Familiar",2 Formless,2,"When summoned draw (1) card, then discard (1) card at random.",3,2,XXX,"1, 3, 7",1,Formless,C,0
Lamtukka Gentleman,"Demon, Being",2 Formless,2,When summoned you may pay (3) Lifespan to give a different demon or imp you control +1/+1,2,1,XXX,"7, 5",,Formless,U,0
Legion's Onset,Prophecy,"1 Faithless, 2 Formless",3,"Pay (X) Lifespan, then Summon a Vassal token, for every (5) Lifespan paid.",XXX,XXX,2,XXX,1,Formless,R,1
Len-dīach Hunger,"Hunger, Being","1 Faithless, 1 Formless",2,Persist.,2,1,XXX,"1, 3, 4",1,Formless,C,0
Lesser Summoning Circle,Relic,2 Formless,2,"Pay (5) Lifespan, Engage: you may Summon a Demon, Imp or Null Being directly on this tile, when you do sacrifice Lesser Summoning Circles.
Beings may move across this Relic.",XXX,XXX,XXX,XXX,1,Formless,U,0
Midnight Mass ,Prophecy,"1 Faithless, 2 Formless",3,Sacrifice target Being this points to: Invoke a Demon with equal Strength on a tile this points to.,XXX,XXX,2,"5, 6",1,Formless,U,1
Mouth of Madness,Relic,3 Formless,3,If a Being moves into the Mortal Realm during End Phase it Shifts (1).,XXX,XXX,XXX,XXX,1,Formless,R,0
NamKaranian Altar,Altar,2 Formless,2,"As an additional cost to Conjure, discard a card at random 
Craft (1) additional Effigy on your turn.
(Conjures in the Effigy Zone).",XXX,XXX,XXX,XXX,1,Formless,U,0
NamKaranian Zealot,"Human, Being",1 Formless,1,"Pay (2) Lifespan, Engage: Add (1) Formless Essence.",1,2,XXX,1,1,Formless,C,0
Onagīous Hunger,"Hunger, Being",2 Formless,2,"Engage: Discard a Hunger, then draw (1) card.",0,2,XXX,"3, 7",1,Formless,U,0
Ounati Hunger,"Hunger, Being",1 Formless,1,"Shift (1).
When this moves into the Mortal Realm give a different Hunger you control +1/+1.",0,2,XXX,"8, 3",1,Formless,U,0
Pangs of Hunger,Prophecy,2 Formless,2,Deal (2) damage to all Beings.,XXX,XXX,3,XXX,1,Formless,U,1
Planchette,Relic,3 Formless,3,"At the end of your turn lose Lifespan equal to the Lifespan of the Being on this tile.
Being gains ""Martyr: Summon an Undead or Demon Being from your Purgatory on this tile"".
Beings may move across this.",XXX,XXX,XXX,XXX,1,Formless,U,0
Ravenous Lamtukka,"Demon, Being","1 Faithless, 3 Formless",4,Whenever you pay Lifespan gain +1/+1.,2,2,XXX,"2, 5",1,Formless,R,0
Saan tachīan Hunger,"Hunger, Being",1 Formless,1,Pay (2) Formless Essence: Gain +1/+1.,1,2,XXX,"1, 3, 7",1,Formless,R,0
Sanative Siphon,Relic,1 Formless,1,"Gain (1) Crossing Counter whenever a Being you control Shifts.
Remove (X) Crossing Counters, Engage: Restore (X) Lifespan to target.",XXX,XXX,XXX,XXX,1,Formless,C,0
Scā-vuhk Hunger,"Hunger, Being",2 Formless,2,"Shift (1): ""At the end of your turn remove (1) Time Counter from this""
When this moves into the Mortal Realm, sacrifice this and create (2) Scā-vuhk Hunger tokens.",0,3,XXX,1,1,Formless,R,0
Shifting Shade,"Spirit, Being",2 Formless,2,"Shift (1).
(Engage: Move this onto a tile in the Ethereal Realm, it becomes a Prophecy, then gains (1) Time Counter and ""When this has (0) Time Counters on it move it onto a tile in the Mortal Realm Engaged""; While it is a Prophecy it loses all other text and typings.).",1,2,XXX,"1, 5",1,Formless,C,0
Simple Summoner,"Human, Being","1 Faithless, 1 Formless",2,Engage: Your next Being this turn costs (-1) Formless to Summon.,0,2,XXX,1,1,Formless,U,0
Something Something Water Horse,"Hunger, Being","1 Faithless, 3 Formless",4,"""The Oath says I can't explain"" - Hippocrates.",3,4,XXX,1,1,Formless,C,0
Terranean Gates,Relic,3 Formless,3,If a Being moves into the Ethereal Realm during End Phase it loses (2) Time Counters,XXX,XXX,XXX,XXX,1,Formless,R,0
Thōgrakin Hunger,"Hunger, Being",1 Formless,1,"Whenever a Being you control Shifts, except during the end step, add (1) Formless Essence.",0,3,XXX,"3, 7",1,Formless,U,0
Tiarlish Hunger,"Hunger, Being","2 Faithless, 2 Formless",4,"Shift (1).
When this moves into the Mortal Realm copy the effect(s) of target Being an opponent controls until the end of your next turn.",1,2,XXX,"2, 8",1,Formless,C,0
Údarik Hunger,"Hunger, Being","1 Faithless, 2 Formless",3,"Engage: Target Being you control Shifts (1), then loses (1) Time Counter; if it moves into the Mortal Realm this turn Disengage it. This ability can not target a Being named Udarik Hunger.",0,1,XXX,"2, 3, 5, 7",1,Formless,R,0
Unruly Fiend,"Demon, Being",2 Formless,2,"When Unruly Fiend attacks you lose (X) Lifespan where (X) is it's current strength
Depart: Discard a card at random.",4,1,XXX,"1, 3, 5",1,Formless,U,0
Vaneach Hunger,"Hunger, Being",2 Formless,2,"You may pay an additional (1) Formless to summon ""Prophetic Hunger"" in the Ethereal Realm with (1) Time Counter.
Shift (1).",2,2,XXX,"1, 4, 6",1,Formless,C,0
Vassal ,"Demon, Being",2 Formless,2,"""Demons only exist in Fairy Tales not a world of Scieince and Steel!!"" - The skeptics last words. ",2,2,XXX,"1, 7",1,Formless,C,0
Vassal Matriach,"Demon, Being","2 Faithless, 4 Formless",6,Depart: You may pay (5) Lifespan to Summon (2) Vassal tokens.,4,5,XXX,"1, 3",1,Formless,Sacred,0
Vassal Vessel,"Human, Being","2 Faithless, 1 Formless",3,"Depart: Summon a Vassal token.

""Oh no my meat suit is rotting again!""",0,4,XXX,1,1,Formless,C,0
Vicious Vittles,"Relic, Being",2 Formless,2,"Engage: As an additional cost to summon your next Hunger this turn, sacrifice this and summon the hunger on this tile.
Beings may move across this.",0,3,XXX,"2, 8",1,Formless,C,0
Void Channeler ,"Human, Being",3 Formless,3,"Gain (1) Crossing Counter each time you Conjure.
Remove (3) Crossing Counters, Engage: Add a Formless Being to hand from deck.",0,4,XXX,"1, 3, 7",1,Formless,U,0
Wretched Remnants,Relic,1 Formless,1,Once per turn when a Being you control dies you may have this Relic gain its effect(s) until end of turn. ,XXX,XXX,XXX,XXX,1,Formless,C,0
  Sporangium,"Seed, Being",1 Living,1,"When a Being with Dryad moves onto this, summon a 0/2 Vine token on a tile this points to.",0,1,X,"1, 3, 7",1,Living,C,
Aerate,Conjuring,"1 Faithless, 1 Living",2,"Reveal the top (3) cards of your deck, you may add any Seed Beings revelaed in this way to hand, then shuffle your deck.",XXX,XXX,XXX,XXX,1,Living,C,0
Arbosalis Altar,Altar,3 Living,3,"Craft (1) additional Effigy on your turn
(Conjures in the Effigy Zone).",XXX,XXX,XXX,XXX,1,Living,U,0
